Posted Date,Transaction Date,Transaction Type,Check/Serial #,Full description,Merchant name,Category name,Sub-category name,Amount,Daily Posted Balance
06/01/2026,06/01/2026,Debit,,BLUE HERON PROPERTY MGMT RENT 06-01 ACH DEBIT,Blue Heron Property Mgmt,Housing,Rent,"($1,650.00)",$734.01
06/01/2026,06/01/2026,Debit,,STREAMFLIX 06-01 800-555-0188 CA DEBIT CARD RECURRING PYMT,Streamflix,Entertainment,Streaming,($15.99),$734.01
06/03/2026,06/02/2026,Debit,,BEANWORKS COFFEE 06-02 ATLANTA GA DEBIT CARD PURCHASE,Beanworks Coffee,Food & Dining,Coffee shops,($4.75),$729.26
06/04/2026,06/02/2026,Debit,,FRESH MARKET 4821 06-02 ATLANTA GA DEBIT CARD PURCHASE,Fresh Market,Groceries,Supermarkets,($86.32),$642.94
06/05/2026,06/03/2026,Debit,,ZIPRIDE *TRIP 06-03 HELP.ZIPRIDE.COM CA DEBIT CARD PURCHASE,,Auto & Transport,Rideshare,($18.40),"$2,427.44"
06/05/2026,06/05/2026,Credit,,PAYROLL NORTHWIND TRADING CO 88X2 TRAN ALEX MORGAN ACH CREDIT,Northwind Trading Co,Deposits,Paychecks,"$1,875.40","$2,427.44"
06/05/2026,06/05/2026,Debit,,CLEARWAVE MOBILE 06-05 800-555-0142 GA DEBIT CARD RECURRING PYMT,Clearwave Mobile,Utilities,Phone & internet,($72.50),"$2,427.44"
06/06/2026,06/04/2026,Debit,,PETROGO #221 06-04 ATLANTA GA DEBIT CARD PURCHASE,Petrogo,Auto & Transport,Gas,($41.10),"$2,386.34"
06/08/2026,06/06/2026,Debit,,TACO LIBRE 06-06 ATLANTA GA DEBIT CARD PURCHASE,Taco Libre,Food & Dining,Restaurants,($23.85),"$2,362.49"
06/09/2026,06/09/2026,Debit,,CLOUDTUNES 06-09 888-555-0170 CA DEBIT CARD RECURRING PYMT,,Entertainment,Music,($9.99),"$2,352.50"
06/10/2026,06/08/2026,Debit,,WELLCARE PHARMACY 06-08 ATLANTA GA DEBIT CARD PURCHASE,Wellcare Pharmacy,Health,Pharmacy,($32.19),"$2,320.31"
06/11/2026,06/10/2026,Debit,,BEANWORKS COFFEE 06-10 ATLANTA GA DEBIT CARD PURCHASE,Beanworks Coffee,Food & Dining,Coffee shops,($4.75),"$2,310.31"
06/11/2026,06/10/2026,Debit,,BEANWORKS COFFEE 06-10 ATLANTA GA DEBIT CARD PURCHASE,Beanworks Coffee,Food & Dining,Coffee shops,($5.25),"$2,310.31"
06/12/2026,06/12/2026,Debit,,ATM WITHDRAWAL 06-12 1ST AVE ATLANTA GA,,Cash & ATM,Withdrawal,($100.00),"$2,210.31"
06/13/2026,06/11/2026,Debit,,FRESH MARKET 4821 06-11 ATLANTA GA DEBIT CARD PURCHASE,Fresh Market,Groceries,Supermarkets,($54.07),"$2,037.80"
06/13/2026,06/13/2026,Debit,,METRO POWER & LIGHT 06-13 ACH DEBIT,Metro Power & Light,Utilities,Electricity,($118.44),"$2,037.80"
06/16/2026,06/14/2026,Debit,,ZIPRIDE *TRIP 06-14 HELP.ZIPRIDE.COM CA DEBIT CARD PURCHASE,,Auto & Transport,Rideshare,($14.20),"$1,904.95"
06/16/2026,06/14/2026,Debit,,ZIPRIDE *TRIP 06-14 HELP.ZIPRIDE.COM CA DEBIT CARD PURCHASE,,Auto & Transport,Rideshare,($22.65),"$1,904.95"
06/16/2026,06/16/2026,Debit,,SAFEGUARD AUTO INS 06-16 ACH DEBIT,Safeguard Auto Ins,Auto & Transport,Insurance,($96.00),"$1,904.95"
06/17/2026,06/15/2026,Credit,,REFUND FRESH MARKET 4821 06-15 ATLANTA GA,Fresh Market,Groceries,Supermarkets,$24.50,"$1,929.45"
06/18/2026,06/18/2026,Credit,,ZELLE FROM JAMIE R 06-18,,Transfers,Incoming,$60.00,"$1,989.45"
06/19/2026,06/17/2026,Debit,,TACO LIBRE 06-17 ATLANTA GA DEBIT CARD PURCHASE,Taco Libre,Food & Dining,Restaurants,($19.30),"$3,845.55"
06/19/2026,06/19/2026,Credit,,PAYROLL NORTHWIND TRADING CO 88X2 TRAN ALEX MORGAN ACH CREDIT,Northwind Trading Co,Deposits,Paychecks,"$1,875.40","$3,845.55"
06/20/2026,06/19/2026,Debit,,BEANWORKS COFFEE 06-19 ATLANTA GA DEBIT CARD PURCHASE,Beanworks Coffee,Food & Dining,Coffee shops,($5.25),"$3,840.30"
06/22/2026,06/20/2026,Debit,,FRESH MARKET 4821 06-20 ATLANTA GA DEBIT CARD PURCHASE,Fresh Market,Groceries,Supermarkets,($73.91),"$3,766.39"
06/23/2026,06/21/2026,Debit,,PETROGO #221 06-21 ATLANTA GA DEBIT CARD PURCHASE,Petrogo,Auto & Transport,Gas,($39.75),"$3,726.64"
06/24/2026,06/22/2026,Debit,,WELLCARE PHARMACY 06-22 ATLANTA GA DEBIT CARD PURCHASE,Wellcare Pharmacy,Health,Pharmacy,($15.40),"$3,712.36"
06/24/2026,06/24/2026,Credit,,INTEREST PAYMENT,,Deposits,Interest,$1.12,"$3,712.36"
06/25/2026,06/23/2026,Debit,,TACO LIBRE 06-23 ATLANTA GA DEBIT CARD PURCHASE,Taco Libre,Food & Dining,Restaurants,($27.10),"$3,685.26"
06/27/2026,06/25/2026,Debit,,FRESH MARKET 4821 06-25 ATLANTA GA DEBIT CARD PURCHASE,Fresh Market,Groceries,Supermarkets,($61.18),"$3,624.08"
06/28/2026,06/26/2026,Debit,,ZIPRIDE *TRIP 06-26 HELP.ZIPRIDE.COM CA DEBIT CARD PURCHASE,,Auto & Transport,Rideshare,($16.85),"$3,607.23"
06/29/2026,06/27/2026,Debit,,BEANWORKS COFFEE 06-27 ATLANTA GA DEBIT CARD PURCHASE,Beanworks Coffee,Food & Dining,Coffee shops,($4.75),"$3,602.48"
06/30/2026,06/28/2026,Debit,,TACO LIBRE 06-28 ATLANTA GA DEBIT CARD PURCHASE,Taco Libre,Food & Dining,Restaurants,($21.40),"$3,487.25"
06/30/2026,06/29/2026,Debit,,PETROGO #221 06-29 ATLANTA GA DEBIT CARD PURCHASE,Petrogo,Auto & Transport,Gas,($44.20),"$3,487.25"
06/30/2026,06/30/2026,Debit,,FRESH MARKET 4821 06-30 ATLANTA GA DEBIT CARD PURCHASE,Fresh Market,Groceries,Supermarkets,($49.63),"$3,487.25"
